"","year","state_abb","m_prism_ppt","m_prism_tavg","decade","fips"
"885","1985","MS",100.018853423377,19.7286144793423,"1980_1989","28"
"886","1986","MS",104.981931556491,18.8393900821734,"1980_1989","28"
"887","1987","MS",107.709943273168,18.4027922881558,"1980_1989","28"
"888","1988","MS",96.9306115236765,17.8927816562191,"1980_1989","28"
"889","1989","MS",144.140467266274,17.6461591363066,"1980_1989","28"
"890","1990","MS",126.918122335187,17.9481445737894,"1990_1999","28"
"891","1991","MS",153.671119334755,17.4871469012107,"1990_1999","28"
"892","1992","MS",104.640817562196,16.7397513093372,"1990_1999","28"
"893","1993","MS",102.966655153128,16.6069596310381,"1990_1999","28"
"894","1994","MS",120.040005002768,18.3650065611362,"1990_1999","28"
"895","1995","MS",110.430044400652,17.1679912828423,"1990_1999","28"
"896","1996","MS",108.93574102199,17.8122845502652,"1990_1999","28"
"897","1997","MS",126.506312000102,16.7019680000997,"1990_1999","28"
"898","1998","MS",107.576824291859,18.5251595082318,"1990_1999","28"
"899","1999","MS",99.6526137661642,17.9909208900187,"1990_1999","28"
"900","2000","MS",94.8510156244694,18.861102844493,"2000_2009","28"
"901","2001","MS",139.3289796807,18.5013446412882,"2000_2009","28"
"902","2002","MS",147.358557119172,17.2478477698481,"2000_2009","28"
"903","2003","MS",128.020839148715,18.0550532005546,"2000_2009","28"
"904","2004","MS",137.04343214672,17.310127010647,"2000_2009","28"
"905","2005","MS",97.6064023880092,18.653834554823,"2000_2009","28"
"906","2006","MS",113.759983904598,17.8420367236275,"2000_2009","28"
"907","2007","MS",88.7907910083994,18.0004926936403,"2000_2009","28"
"908","2008","MS",133.318805607098,17.9645983682061,"2000_2009","28"
"909","2009","MS",155.332668135255,17.9989625272515,"2000_2009","28"
